date,ticker,name,open,high,low,close,adj_close,volume,trading_value,market_cap,sector,is_suspended,is_administrative
2007-10-10,090430,,65717,69518,65016,69418,69418,164007,11125499000,,,,
2007-10-11,090430,,69418,70218,68317,69918,69918,93295,6470770000,,,,
2007-10-12,090430,,69918,69918,67917,68317,68317,62583,4274945000,,,,
2007-10-15,090430,,70018,70018,68517,69217,69217,97564,6760776000,,,,
2007-10-16,090430,,70218,70218,68017,68917,68917,145732,10056236000,,,,
2007-10-17,090430,,69017,69017,65016,67417,67417,109201,7346739000,,,,
2007-10-18,090430,,66317,69017,65517,66017,66017,142612,9544173500,,,,
2007-10-19,090430,,66317,68817,65917,68717,68717,227980,15403455000,,,,
2007-10-22,090430,,66517,66917,65917,66717,66717,118759,7904132000,,,,
2007-10-23,090430,,67317,67517,65517,67117,67117,115999,7722992852,,,,
2007-10-24,090430,,66717,70918,66517,69618,69618,232139,16180490000,,,,
2007-10-25,090430,,69718,75819,69217,75819,75819,374742,27279362744,,,,
2007-10-26,090430,,75719,84021,75719,83921,83921,484703,39928767000,,,,
2007-10-29,090430,,83921,84021,81121,84021,84021,296252,24742667600,,,,
2007-10-30,090430,,84021,90023,83121,89223,89223,265620,23364687902,,,,
2007-10-31,090430,,86022,88523,84121,85722,85722,1459530,125796974470,,,,
2007-11-01,090430,,84021,84221,81021,82221,82221,1035310,85657421214,,,,
2007-11-02,090430,,81621,90023,80320,83021,83021,715783,60850994000,,,,
2007-11-05,090430,,83521,86322,83521,83721,83721,648521,54922484000,,,,
2007-11-06,090430,,84521,86222,82621,83721,83721,304520,25543065000,,,,
2007-11-07,090430,,85522,86022,83821,84722,84722,355227,30093249000,,,,
2007-11-08,090430,,84021,85222,82321,83721,83721,334643,28066038000,,,,
2007-11-09,090430,,85022,92524,84221,87922,87922,684252,60439754000,,,,
2007-11-12,090430,,88122,91023,86522,88923,88923,514576,45769133000,,,,
2007-11-13,090430,,89223,89923,81921,86722,86722,218363,18793311000,,,,
2007-11-14,090430,,87022,87822,79320,82021,82021,533201,44050035000,,,,
2007-11-15,090430,,80020,80220,73319,75619,75619,641093,48498159000,,,,
2007-11-16,090430,,73119,76019,71318,75719,75719,328364,24239505000,,,,
2007-11-19,090430,,74319,76819,71018,71018,71018,99254,7380931000,,,,
2007-11-20,090430,,69117,71318,65617,71018,71018,347539,23914683000,,,,
2007-11-21,090430,,71118,72718,69117,69518,69518,357547,25275981000,,,,
2007-11-22,090430,,69017,79920,69017,73519,73519,207146,14878075000,,,,
2007-11-23,090430,,72218,74019,65717,69017,69017,264401,18117004840,,,,
2007-11-26,090430,,70818,73519,70118,72018,72018,147921,10678112000,,,,
2007-11-27,090430,,70018,74319,68517,74019,74019,152480,11055782280,,,,
2007-11-28,090430,,75919,77520,74019,76319,76319,168536,12753429990,,,,
2007-11-29,090430,,77020,78020,75219,77020,77020,156459,11976046000,,,,
2007-11-30,090430,,76119,78020,76019,76219,76219,132285,10127110000,,,,
2007-12-03,090430,,76219,76219,72118,72518,72518,170775,12454541000,,,,
2007-12-04,090430,,72618,73619,71718,73018,73018,174134,12656398000,,,,
2007-12-05,090430,,73018,73018,70218,71618,71618,237608,16909795000,,,,
2007-12-06,090430,,71918,73018,70818,71618,71618,197808,14204839000,,,,
2007-12-07,090430,,72418,72918,67617,70318,70318,184821,12841532000,,,,
2007-12-10,090430,,68817,69518,65116,65116,65116,235158,15708706000,,,,
2007-12-11,090430,,66317,67917,65617,66517,66517,228820,15233594000,,,,
2007-12-12,090430,,65917,69318,65417,68817,68817,225391,15421799000,,,,
