ticker,name,analyst_sector,valuation_family,sector_source,confidence,kospi200_sector,dart_sector,dart_industry_code,ts2000_sector,override_sector,override_note
000230,일동홀딩스(주),Unclassified,common_equity,fallback,0.4,,,,,,
000300,(주)디에이치오토넥스,Unclassified,common_equity,fallback,0.4,,,,,,
000320,(주)노루홀딩스,Unclassified,common_equity,fallback,0.4,,,,,,
000360,삼환기업(주),Unclassified,common_equity,fallback,0.4,,,,,,
000370,한화손해보험(주),Unclassified,common_equity,fallback,0.4,,,,,,
000390,에스피삼화(주),Unclassified,common_equity,fallback,0.4,,,,,,
000400,롯데손해보험(주),Unclassified,common_equity,fallback,0.4,,,,,,
000420,(주)로케트전기,Unclassified,common_equity,fallback,0.4,,,,,,
000430,대원강업(주),Unclassified,common_equity,fallback,0.4,,,,,,
000470,그린손해보험(주),Unclassified,common_equity,fallback,0.4,,,,,,
000480,(주)시알홀딩스,Unclassified,common_equity,fallback,0.4,,,,,,
000490,(주)대동,Unclassified,common_equity,fallback,0.4,,,,,,
000500,가온전선(주),Unclassified,common_equity,fallback,0.4,,,,,,
000520,삼일제약(주),Unclassified,common_equity,fallback,0.4,,,,,,
000540,흥국화재해상보험(주),Unclassified,common_equity,fallback,0.4,,,,,,
000590,CS홀딩스(주),Unclassified,common_equity,fallback,0.4,,,,,,
000610,제일화재해상보험(주),Unclassified,common_equity,fallback,0.4,,,,,,
000640,동아쏘시오홀딩스(주),Unclassified,common_equity,fallback,0.4,,,,,,
000650,(주)천일고속,Unclassified,common_equity,fallback,0.4,,,,,,
000680,(주)엘에스네트웍스,Unclassified,common_equity,fallback,0.4,,,,,,
000700,(주)유수홀딩스,Unclassified,common_equity,fallback,0.4,,,,,,
000760,이화산업(주),Unclassified,common_equity,fallback,0.4,,,,,,
000790,(주)씨앤상선,Unclassified,common_equity,fallback,0.4,,,,,,
000800,경남기업(주),Unclassified,common_equity,fallback,0.4,,,,,,
000830,삼성물산(주),Unclassified,common_equity,fallback,0.4,,,,,,
000850,화천기공(주),Unclassified,common_equity,fallback,0.4,,,,,,
000860,강남제비스코(주),Unclassified,common_equity,fallback,0.4,,,,,,
000890,보해양조(주),Unclassified,common_equity,fallback,0.4,,,,,,
000910,(주)유니온,Unclassified,common_equity,fallback,0.4,,,,,,
000950,전방(주),Unclassified,common_equity,fallback,0.4,,,,,,
000970,한국주철관공업(주),Unclassified,common_equity,fallback,0.4,,,,,,
001020,페이퍼코리아(주),Unclassified,common_equity,fallback,0.4,,,,,,
001060,제이더블유중외제약(주),Unclassified,common_equity,fallback,0.4,,,,,,
001070,대한방직(주),Unclassified,common_equity,fallback,0.4,,,,,,
001080,만호제강(주),Unclassified,common_equity,fallback,0.4,,,,,,
001120,(주)엘엑스인터내셔널,Unclassified,common_equity,fallback,0.4,,,,,,
001130,대한제분(주),Unclassified,common_equity,fallback,0.4,,,,,,
001140,(주)국보,Unclassified,common_equity,fallback,0.4,,,,,,
001190,마이크로닉스(주),Unclassified,common_equity,fallback,0.4,,,,,,
001200,유진투자증권(주),Unclassified,common_equity,fallback,0.4,,,,,,
001210,금호전기(주),Unclassified,common_equity,fallback,0.4,,,,,,
